campaign_id,channel,cost,impressions,clicks,conversions,date
205,Instagram,2460.27,184557,131887,8542,2023-06-24
206,Facebook,2693.35,216732,141009,4282,2024-09-26
207,Google Ads,4749.81,865685,79586,5528,2023-03-26
208,Instagram,458.83,981474,73628,7988,2024-12-28
209,TikTok,3039.35,507945,99454,7275,2023-08-04
210,Google Ads,2679.84,38669,70378,2787,2023-01-14
211,TikTok,2629.54,944776,13469,4626,2023-02-06
212,Facebook,4378.48,930346,60528,6561,2023-01-27
213,Instagram,1107.14,851531,136216,6352,2024-10-25
214,Facebook,299.79,629300,65223,4808,2024-07-29
215,Instagram,3394.13,134154,91014,8629,2023-03-11
216,Instagram,1791.27,650166,138433,5888,2023-06-03
217,TikTok,186.19,972308,18164,5737,2024-03-13
218,Facebook,1331.73,158333,13790,2358,2023-09-28
219,TikTok,1615.7,742866,133229,8574,2024-06-24
220,TikTok,3122.51,10795,101125,5390,2023-03-15
221,TikTok,945.67,308453,100967,4216,2024-07-24
222,Facebook,2123.97,717816,14659,406,2023-05-29
223,Instagram,2464.13,754924,144864,4340,2024-05-20
224,Instagram,2350.26,21180,48529,65,2023-01-10
225,Facebook,4872.31,981792,17072,227,2024-10-05
226,Instagram,322.97,309479,41630,2184,2024-05-16
227,Facebook,4759.74,880319,123397,6800,2023-03-03
228,Facebook,2951.49,498502,1465,9704,2024-01-23
229,Instagram,3999.07,784783,49783,7751,2024-12-30
230,Google Ads,2208.92,427484,94456,9121,2023-08-20
231,TikTok,2323.81,722911,129506,5823,2024-08-06
232,Facebook,4408.7,240901,58996,1180,2024-06-11
233,Facebook,4490.08,156561,99439,9231,2024-07-03
234,Google Ads,1269.58,715758,149173,1101,2024-11-19
235,Facebook,1076.29,647640,137894,2099,2024-03-20
236,Facebook,2531.55,365411,20200,513,2023-11-17
237,Instagram,4511.36,710830,120863,1832,2023-03-24
238,Instagram,1679.54,340546,148632,7137,2024-03-09
239,Google Ads,3294.87,111551,61745,5807,2023-01-17
240,Facebook,3569.94,888442,69651,3116,2024-01-04
241,TikTok,3915.51,81808,4940,5850,2024-10-29
242,Instagram,2863.23,646111,86169,7598,2024-11-14
243,TikTok,2072.03,426377,86090,4343,2024-08-04
244,TikTok,4838.38,121469,48205,4628,2024-08-05
245,Google Ads,3095.52,723995,5799,6184,2023-09-12
246,Google Ads,3669.97,335066,137094,8981,2024-03-31
247,Facebook,1790.42,334018,87300,1300,2024-10-04
248,Google Ads,3382.75,904685,97906,1947,2024-07-14
249,Instagram,1363.21,323505,146034,2242,2024-06-16
250,Facebook,1300.97,74836,144770,9286,2024-01-27
251,Facebook,3602.14,192838,126573,1358,2023-11-16
252,TikTok,2654.83,153472,2922,3656,2023-08-08
253,TikTok,3448.06,812073,90685,307,2024-11-29
254,TikTok,1420.25,708593,87520,1450,2024-02-18
255,Facebook,3033.74,595121,13152,7366,2023-02-01
256,Google Ads,2275.27,252673,83674,2123,2024-12-15
257,Google Ads,3025.11,413548,130271,4882,2023-01-16
258,Google Ads,1525.31,384043,119979,2842,2024-02-13
259,Facebook,3605.71,114398,144441,1664,2023-06-22
260,Facebook,4049.05,409417,16651,6373,2024-10-10
261,Facebook,1373.59,439598,70015,3948,2023-06-28
262,Facebook,1573.04,571417,7761,9586,2024-07-26
263,Facebook,3339.66,821240,72603,4072,2024-05-11
264,Google Ads,3508.37,603634,95506,3634,2023-04-14
265,Facebook,3550.09,74524,86030,214,2023-11-13
266,Google Ads,3445.22,581913,144703,3072,2024-12-07
267,Facebook,2024.76,303471,149737,4472,2024-08-10
268,Google Ads,2034.78,151651,124634,2459,2023-06-30
269,Instagram,1348.61,546771,132004,3706,2023-05-12
270,Instagram,868.49,919007,141357,1206,2024-10-24
271,Google Ads,3493.63,858312,134664,8601,2023-06-04
272,Instagram,556.63,9947,58959,3469,2023-12-25
273,Instagram,4695.18,141605,44730,8407,2023-08-23
274,Google Ads,4150.76,703936,1176,4847,2023-06-14
275,Facebook,4301.78,304060,113968,348,2024-12-17
276,Facebook,4542.68,441139,98443,3651,2024-03-02
277,Google Ads,2102.16,973666,63805,2878,2024-11-07
278,TikTok,4248.83,474945,114970,4749,2024-05-02
279,TikTok,874.5,650756,95495,3994,2023-08-01
280,Instagram,206.04,461133,103900,2,2023-06-06
281,TikTok,3945.97,252362,45860,1117,2024-11-19
282,Instagram,466.5,270156,123576,9274,2023-03-16
283,Facebook,4943.77,16213,35376,6883,2024-03-10
284,Google Ads,3406.5,946067,62013,1517,2023-06-27
285,Facebook,3791.9,147284,73708,4846,2024-10-06
286,Google Ads,1304.44,96660,13448,3579,2024-09-28
287,TikTok,3401.94,847620,46778,2379,2023-11-08
288,Facebook,311.78,571864,145124,9204,2023-05-07
289,Facebook,4205.35,273855,114469,4264,2024-01-12
290,Instagram,931.16,250486,418,2823,2023-12-11
291,Google Ads,3517.05,507693,77454,848,2023-08-13
292,TikTok,1199.95,772935,26111,9896,2023-01-17
293,Facebook,435.42,796947,18887,5036,2024-05-11
294,Google Ads,2459.32,152265,112386,205,2024-04-17
295,TikTok,929.5,199739,109260,520,2023-11-07
296,Facebook,3674.28,658784,143688,3576,2023-05-17
297,Google Ads,1264.07,569632,99132,5113,2024-04-19
298,Instagram,1778.12,195164,102405,6258,2023-08-05
299,Facebook,2880.45,481575,8852,6807,2023-07-15
300,Google Ads,1496.34,847027,124445,2134,2023-07-20
301,TikTok,1952.14,448842,80606,4838,2024-01-01
302,TikTok,4096.55,272344,110482,2475,2024-12-19
303,Instagram,978.13,706829,98428,5817,2024-06-11
304,Facebook,502.79,679391,148710,4545,2024-02-04
305,Instagram,1708.95,135288,12757,7793,2024-06-08
306,Google Ads,2179.45,964098,149015,785,2024-08-12
307,TikTok,2759.03,787448,81219,8143,2023-08-02
308,Instagram,1924.88,103974,21591,7708,2023-12-07
309,Facebook,3970.57,420594,103110,4097,2023-11-25
310,Google Ads,292.67,101927,128901,5197,2023-04-29
311,Facebook,2215.66,950238,42280,2157,2024-02-29
312,Instagram,1973.05,342030,18640,8870,2024-11-23
313,TikTok,3273.13,640105,8043,3528,2024-01-08
314,TikTok,4834.75,670810,120830,3559,2024-10-10
315,Instagram,2600.84,395689,9011,8134,2023-06-28
316,Facebook,4935.7,288669,63100,8562,2024-03-07
317,Facebook,1581.02,422788,69405,2937,2024-12-20
318,Facebook,251.25,829460,2579,8172,2024-02-06
319,Facebook,911.75,693439,10212,8138,2024-01-29
320,TikTok,2036.11,715327,109675,5141,2024-07-19
321,Facebook,1650.04,577335,46909,721,2023-03-20
322,Instagram,575.57,293254,32305,923,2024-02-28
323,Instagram,2220.03,364184,137729,5391,2023-04-28
324,Instagram,1756.77,120786,111047,7657,2024-01-03
325,Instagram,700.83,617712,34926,835,2023-04-16
326,Facebook,1550.97,134018,126301,2493,2023-04-15
327,TikTok,4443.54,416159,87791,2979,2023-10-30
328,Google Ads,1580.04,779856,116658,2424,2024-09-21
329,Facebook,3598.38,16740,102025,4521,2023-05-28
330,Google Ads,3099.03,486197,96420,2376,2023-05-30
331,TikTok,2193.19,115988,32501,453,2023-09-13
332,Facebook,1271.23,75712,142737,3459,2023-03-23
333,Google Ads,1908.17,882834,90336,3547,2023-01-16
334,TikTok,3001.33,438867,64802,1148,2023-07-12
335,Google Ads,1818.69,562557,142284,522,2024-12-23
336,Instagram,1152.99,471370,79397,4577,2023-03-15
337,Instagram,670.67,746632,108427,121,2023-10-04
338,TikTok,4410.86,301826,140057,3618,2023-03-02
339,TikTok,2257.53,645647,132548,6630,2024-06-19
340,Google Ads,3163.52,156673,137111,3722,2024-06-18
341,TikTok,2503.01,820282,134018,3083,2023-12-09
342,Instagram,4375.58,42132,72453,5930,2024-01-30
343,Instagram,2779.98,444366,7530,6723,2023-09-15
344,Facebook,2455.83,137876,142323,4813,2023-07-17
345,Google Ads,4630.54,253697,34584,3307,2023-02-22
346,TikTok,3626.48,610349,124606,3642,2024-10-12
347,TikTok,646.59,53034,137952,2817,2023-09-28
348,TikTok,970.75,308205,28704,7421,2023-07-20
349,Google Ads,3956.9,945923,107485,7047,2024-01-31
350,Instagram,4195.67,417962,17862,9676,2024-01-13
351,TikTok,2771.44,341492,119372,8468,2024-11-06
352,TikTok,2816.83,233460,89330,5588,2024-08-26
353,Instagram,3196.47,986085,141728,7387,2024-06-18
354,TikTok,2251.67,681696,79191,9440,2023-03-29
355,Facebook,3432.98,640180,115019,9316,2024-02-02
356,Instagram,631.56,571240,130831,9849,2023-07-01
357,Instagram,4810.27,883428,10104,9945,2023-10-10
358,Instagram,3775.76,179215,103826,3402,2024-06-16
359,Facebook,3192.75,481420,347,4332,2024-07-14
360,Instagram,1649.98,389126,112002,8943,2023-07-09
361,Google Ads,888.68,584667,46095,164,2023-07-24
362,Google Ads,2105.78,690680,59523,6989,2023-02-13
363,Google Ads,3341.73,893552,62069,9884,2023-10-27
364,Instagram,3205.18,128852,29152,1956,2024-10-01
365,Instagram,1974.94,361255,49314,3860,2024-12-01
366,Instagram,3105.1,493344,68958,2775,2024-11-12
367,Facebook,4087.37,561804,40865,1768,2023-10-06
368,Google Ads,228.8,191861,143638,6226,2024-12-13
369,TikTok,2308.04,334258,45384,6621,2024-01-20
370,TikTok,3816.92,776960,50134,782,2024-09-28
371,Instagram,2776.11,909510,33261,7820,2023-11-07
372,Facebook,3292.23,917089,53665,9146,2024-06-11
373,Instagram,2631.71,759861,61414,9851,2023-10-01
374,TikTok,4960.19,62240,119478,140,2024-04-26
375,Google Ads,367.65,304942,52029,719,2024-03-26
376,TikTok,2506.12,218687,8186,1650,2024-06-15
377,Google Ads,547.94,450136,99309,7885,2024-06-14
378,Google Ads,882.95,905803,118509,3573,2024-06-08
379,Facebook,1976.89,67473,148128,1015,2023-01-17
380,TikTok,862.15,197398,82663,4383,2024-12-18
381,Instagram,4822.07,651099,113312,8534,2023-01-30
382,Facebook,4739.27,991635,105417,6292,2024-04-14
383,Google Ads,1746.94,918928,45702,6353,2023-10-31
384,TikTok,3234.76,720234,136777,9167,2024-07-08
385,Instagram,2715.39,110806,76313,3120,2023-04-03
386,Facebook,4096.38,659411,148110,1823,2024-07-31
387,Instagram,3174.48,626497,112455,4426,2024-09-22
388,TikTok,101.24,884310,52645,10,2024-08-06
389,Instagram,3839.55,453697,108820,4604,2023-06-11
390,Facebook,3759.56,458088,15109,9660,2023-11-24
391,Instagram,2597.64,78774,30346,9305,2024-12-30
392,TikTok,4524.3,290930,28285,8813,2023-09-11
393,Facebook,4551.39,620492,124968,900,2024-03-15
394,Google Ads,2667.17,200302,86588,3747,2024-07-24
395,Facebook,3079.14,201203,46742,1471,2024-06-27
396,TikTok,4982.96,657627,9285,6861,2023-04-30
397,Instagram,1564.22,460173,64466,3103,2024-05-28
398,Google Ads,1690.62,194717,17605,8518,2024-09-21
399,Google Ads,995.59,544938,28122,73,2024-07-02
400,Instagram,4489.75,794449,147611,250,2023-04-07
401,TikTok,3747.99,404065,80296,2497,2024-01-05
402,Facebook,617.65,773148,74485,4628,2024-02-21
403,TikTok,4910.66,745409,70372,8487,2023-09-14
404,Google Ads,3681.71,325597,4009,297,2023-05-08
405,Facebook,4267.56,443333,146039,8493,2023-12-25
406,Facebook,335.94,451463,131966,8776,2023-06-05
407,Instagram,2574.31,439115,83581,6517,2024-10-18
408,TikTok,3523.13,960148,58627,1634,2023-02-26
409,Facebook,2760.44,593050,146541,5005,2024-08-04
410,Instagram,3366.57,660748,23907,6029,2024-07-09
411,TikTok,4107.58,68958,10956,8244,2024-12-24
412,Google Ads,1934.25,172066,137967,5615,2024-11-17
413,Google Ads,4258.48,993309,141321,2844,2024-10-14
414,TikTok,898.29,471929,92305,5623,2023-03-17
415,Facebook,1427.34,602856,103403,4590,2023-06-07
416,Facebook,312.39,504028,69198,4948,2023-03-26
417,Google Ads,1885.69,860284,116482,5190,2023-11-18
418,Google Ads,1961.56,134915,119543,7884,2023-11-05
419,Facebook,4045.83,553303,135378,6332,2024-06-13
420,TikTok,3300.34,988151,103000,662,2023-10-11
421,Google Ads,2239.94,963735,129711,8199,2023-02-11
422,Facebook,3295.36,227709,20997,6475,2023-05-14
423,TikTok,358.64,47546,135542,3087,2024-09-05
424,Instagram,983.33,838487,87336,4761,2024-10-10
425,TikTok,3172.04,889960,101851,668,2024-02-08
426,Facebook,3242.7,225478,122018,9477,2024-05-07
427,TikTok,3893.26,628571,48771,3620,2023-08-10
428,Facebook,2074.7,776411,146498,160,2023-08-17
429,Google Ads,3640.52,312721,103633,6460,2024-03-27
430,Instagram,3451.5,167241,60974,17,2023-11-02
431,Google Ads,4820.63,173781,108559,2533,2023-04-29
432,Google Ads,1154.14,292559,93779,6510,2024-09-02
433,Facebook,2803.23,409901,126850,4446,2023-11-20
434,Facebook,3048.65,279107,70500,5554,2023-06-08
435,Facebook,4993.37,686058,9776,2918,2023-08-27
436,Facebook,1085.8,63415,4334,9245,2024-01-31
437,Google Ads,2663.77,57400,112551,315,2023-11-16
438,Facebook,1796.31,377875,84359,4832,2023-07-08
439,Facebook,2676.88,56450,139698,2211,2023-11-05
440,Google Ads,1237.43,874394,34726,7069,2023-09-06
441,Instagram,333.3,969215,1307,8511,2024-06-21
442,Instagram,2905.57,465787,129430,5133,2024-12-01
443,TikTok,1745.69,728967,82944,6422,2024-05-20
444,Google Ads,991.51,414794,52197,4527,2024-01-29
445,Facebook,1687.28,487796,120169,2715,2024-10-13
446,TikTok,341.47,643927,136601,8825,2024-02-10
447,Instagram,4757.17,554130,53691,9897,2023-06-30
448,Instagram,2947.62,803963,138763,6665,2023-01-21
449,Google Ads,4092.37,396386,111348,7107,2024-11-05
450,Facebook,2173.28,484439,77413,5132,2024-08-05
451,Facebook,4526.24,235494,104349,8864,2024-08-16
452,TikTok,2468.26,384987,40559,8662,2023-06-04
453,Instagram,2912.33,663657,102431,6782,2024-07-12
454,TikTok,2509.79,529451,102699,2607,2023-07-13
455,TikTok,3693.06,566082,78505,3332,2023-08-12
456,TikTok,2876.61,42787,89499,4697,2024-02-03
457,Facebook,1430.83,371392,135833,9574,2023-10-07
458,Instagram,813.14,844651,44902,6745,2023-01-10
459,TikTok,3070.01,102243,18882,5634,2024-01-11
460,Instagram,2496.98,897656,110546,6260,2024-04-16
461,Instagram,570.28,549736,133070,1185,2023-06-01
462,TikTok,2038.53,725512,68063,6995,2024-09-07
463,TikTok,2622.4,753644,76403,6109,2023-05-04
464,Google Ads,4151.78,843869,84056,6441,2024-11-27
465,Facebook,472.9,553587,36223,915,2024-07-06
466,Instagram,1807.63,502989,56298,7464,2024-02-28
467,TikTok,4131.02,959623,52972,1617,2024-06-06
468,TikTok,3277.28,602381,5002,9875,2024-12-30
469,Instagram,1520.8,170720,48654,2425,2024-05-27
470,TikTok,4242.14,932600,139452,425,2023-06-20
471,Google Ads,2517.14,650401,80590,1787,2024-07-18
472,Instagram,2541.92,886749,57565,2584,2023-05-05
473,TikTok,4885.28,522068,32900,4648,2023-06-24
474,Instagram,4740.87,992783,97243,168,2024-05-18
475,TikTok,1856.81,401607,118629,514,2024-01-20
476,TikTok,788.84,247935,78971,3435,2024-12-11
477,Facebook,1695.77,338035,71813,4525,2024-11-14
478,Instagram,249.37,457046,41306,2616,2024-07-24
479,Facebook,201.76,464999,4026,8882,2023-04-16
480,TikTok,2038.06,303430,113782,3204,2024-09-28
481,Instagram,4711,203898,43156,7765,2024-06-11
482,Instagram,4369.65,493828,68595,8544,2023-02-07
483,Google Ads,2606.07,764348,84247,1117,2024-01-30
484,Google Ads,2869.61,354497,149579,1405,2024-04-21
485,TikTok,129.07,636315,56814,5414,2024-04-11
486,TikTok,1155.96,825027,129713,6341,2024-12-22
487,TikTok,221.39,129840,137811,4174,2024-05-19
488,TikTok,3797.24,63740,2578,677,2023-11-11
489,Google Ads,813.66,314073,64646,8742,2023-10-12
490,Instagram,4358.33,33827,119247,9011,2024-04-08
491,Facebook,3252.29,27209,88473,213,2024-11-10
492,Instagram,1224.15,499506,30074,1666,2023-09-21
493,Instagram,872.83,98654,44283,9085,2024-09-01
494,Google Ads,3175.36,896379,139590,4254,2024-10-07
495,Instagram,4514.1,999256,100461,2786,2024-03-04
496,Instagram,3619.97,74396,57248,8213,2023-12-31
497,TikTok,1807.88,211033,112107,5860,2023-06-30
498,Facebook,2978.18,932310,112339,1261,2024-10-22
499,Instagram,1622.73,900686,108847,1172,2023-09-01
